drug,protein,Genesym
DB08865,3645,INSRR
DB08865,2241,FER
DB08865,2321,FLT1
DB08865,5610,EIF2AK2
DB08865,984,CDK11B
DB08865,2041,EPHA1
DB08865,2261,FGFR3
DB08865,6198,RPS6KB1
DB08865,3716,JAK1
DB08865,1969,EPHA2
DB08865,2042,EPHA3
DB08865,2046,EPHA8
DB08865,4058,LTK
DB08865,7297,TYK2
DB08865,558,AXL
DB08865,2868,GRK4
DB08865,7075,TIE1
DB08865,2322,FLT3
DB08865,91,ACVR1B
DB08865,7046,TGFBR1
DB08865,7294,TXK
DB08865,27,ABL2
DB08865,2444,FRK
DB08865,7535,ZAP70
DB08865,6850,SYK
DB08865,5606,MAP2K3
DB08865,1022,CDK7
DB08865,640,BLK
DB08865,3654,IRAK1
DB08865,660,BMX
DB08865,3718,JAK3
DB08865,3984,LIMK1
DB08865,3985,LIMK2
DB08865,2044,EPHA5
DB08865,2050,EPHB4
DB08865,2047,EPHB1
DB08865,2043,EPHA4
DB08865,54101,RIPK4
DB08865,7010,TEK
DB08865,90,ACVR1
DB08865,4486,MST1R
DB08865,5747,PTK2
DB08865,695,BTK
DB08865,7301,TYRO3
DB08865,10188,TNK2
DB08865,780,DDR1
DB08865,3702,ITK
DB08865,1760,DMPK
DB08865,5871,MAP4K2
DB08865,7786,MAP3K12
DB08865,10461,MERTK
DB08865,6789,STK4
DB08865,5562,PRKAA1
DB08865,5598,MAPK7
DB08865,6788,STK3
DB08865,4214,MAP3K1
DB08865,6093,ROCK1
DB08865,8711,TNK1
DB08865,8737,RIPK1
DB08865,9641,IKBKE
DB08865,2185,PTK2B
DB08865,5587,PRKD1
DB08865,2045,EPHA7
DB08865,7016,TESK1
DB08865,4916,NTRK3
DB08865,4915,NTRK2
DB08865,22848,AAK1
DB08865,388228,SBK1
DB08865,80122,MAP3K19
DB08865,51086,TNNI3K
DB08865,25989,ULK3
DB08865,25778,DSTYK
DB08865,389840,MAP3K15
DB08865,57551,TAOK1
DB08865,8491,MAP4K3
DB08865,167359,NIM1K
DB08865,9706,ULK2
DB08865,50488,MINK1
DB08865,166614,DCLK2
DB08865,147746,HIPK4
DB08865,91754,NEK9
DB08865,140901,STK35
DB08865,140609,NEK7
DB08865,8445,DYRK2
DB08865,8999,CDKL2
DB08865,11184,MAP4K1
DB08865,79934,COQ8B
DB08865,9212,AURKB
DB08865,10645,CAMKK2
DB08865,6732,SRPK1
DB08865,8394,PIP5K1A
DB08865,4215,MAP3K3
DB08865,83732,RIOK1
DB08865,81788,NUAK2
DB08865,23235,SIK2
DB08865,9748,SLK
DB08865,51347,TAOK3
DB08865,55589,BMP2K
DB08865,51135,IRAK4
DB08865,51765,STK26
DB08865,285220,EPHA6
DB08865,29110,TBK1
DB08865,9344,TAOK2
DB08865,238,ALK
DB08865,26576,SRPK3
DB08865,728642,CDK11A
DB08865,6795,AURKC
DB08865,10746,MAP3K2
DB08865,11183,MAP4K5
DB08865,11213,NOS2
DB04149,5141,NOS2
DB04149,5143,NOS2
